from_station_id,from_station_name,to_station_id,to_station_name,train_count,sample_trains
1016,苏州北,1005,南京南,25,"G106,G122,G1232,G1258,G146..."
1016,苏州北,1010,常州北,49,"G110,G112,G116,G1204,G1228..."
1017,连云港,1004,南京,3,"C3651,C3659,C3671"
1017,连云港,1005,南京南,4,"C3831,C3835,C3839,C3885"
1017,连云港,1009,常州,7,"D9507,G7583,G7585,G8261,G8263..."
1017,连云港,1011,徐州,1,D781
1017,连云港,1012,徐州东,8,"D5683,D5687,D5691,G1838,G1851..."
1017,连云港,1013,新沂,11,"1150,1552,K1614,K1626,K304..."
1017,连云港,1014,盐城,8,"G2059,G2630,G481,G8291,G8311..."
1017,连云港,1018,连云港东,12,"1148,1551,K1352,K1624,K612..."
1018,连云港东,1017,连云港,11,"1150,1552,K1614,K1626,K304..."
1019,丽水,1023,杭州东,10,"D3236,G1966,G7326,G7336,G7342..."
1019,丽水,1025,温州,8,"K1052,K1240,K1258,K306,K326..."
1019,丽水,1026,温州南,46,"D3211,D3235,G1226,G1460,G163..."
1019,丽水,1028,金华,4,"G2306,K1586,K1670,K944"
1019,丽水,1029,金华南,47,"D3212,G1228,G1458,G164,G1732..."
1020,嘉兴南,1003,上海虹桥,97,"D2212,D2284,D2286,D3102,D3104..."
1020,嘉兴南,1022,杭州,5,"G7351,G7355,G7359,G7395,G7631"
1020,嘉兴南,1023,杭州东,101,"D2281,D2283,D2285,D2287,D3107..."
1021,宁波,1022,杭州,8,"K1040,K1220,K1438,K166,K212..."
1021,宁波,1023,杭州东,86,"D2196,D2282,D2284,D2286,D2288..."
1021,宁波,1024,杭州南,13,"D382,G1416,G1432,G2332,G2346..."
1021,宁波,1026,温州南,65,"D2281,D2283,D2285,D2287,D2293..."
1021,宁波,1028,金华,4,"K1078,K422,K848,Z290"
1022,杭州,1002,上海南,17,"D5402,D5404,D5406,D5408,D5410..."
1022,杭州,1003,上海虹桥,2,"D782,G7357"
1022,杭州,1004,南京,1,D718
1022,杭州,1005,南京南,9,"D2188,D2192,G1870,G1890,G254..."
1022,杭州,1015,苏州,3,"T112,Z176,Z86"
1022,杭州,1020,嘉兴南,6,"G7353,G7358,G7360,G7393,G7397..."
1022,杭州,1021,宁波,8,"K1042,K1218,K1440,K168,K210..."
1022,杭州,1028,金华,8,"D5491,D5495,K1091,K1127,K212..."
1022,杭州,1029,金华南,8,"K101,K1052,K1240,K1398,K2908..."
1022,杭州,1033,宣城,25,"G7631,K102,K1040,K1050,K1107..."
1022,杭州,1037,芜湖,1,K606
1023,杭州东,1002,上海南,10,"D5484,D5486,D772,K112,K1374..."
1023,杭州东,1003,上海虹桥,51,"D2282,D2288,D382,D5456,D5462..."
1023,杭州东,1005,南京南,77,"D2196,D2222,D2294,D3236,D3240..."
1023,杭州东,1019,丽水,15,"G7321,G7323,G7325,G7335,G7337..."
1023,杭州东,1020,嘉兴南,88,"D2284,D2286,D3102,D3104,D3108..."
1023,杭州东,1021,宁波,90,"D2198,D2281,D2283,D2285,D2287..."
1023,杭州东,1024,杭州南,18,"D3135,D377,D5458,D5464,D5483..."
1023,杭州东,1027,衢州,7,"G1363,G1387,G1451,G1635,G1639..."
1023,杭州东,1028,金华,56,"D5485,G1304,G1321,G1329,G1331..."
1023,杭州东,1029,金华南,21,"D3211,D3235,G1226,G163,G1734..."
1023,杭州东,1033,宣城,30,"D2262,D656,G1392,G1790,G1794..."
1023,杭州东,1037,芜湖,3,"G1962,G3118,G7724"
1023,杭州东,1045,黄山北,25,"D3323,D3397,D5577,D5579,D5581..."
1024,杭州南,1002,上海南,24,"K1187,K124,K1372,K1512,K288..."
1024,杭州南,1019,丽水,2,"G7465,G7643"
1024,杭州南,1021,宁波,12,"D3135,D377,G1418,G1434,G2334..."
1024,杭州南,1023,杭州东,17,"D382,D5456,D5462,D5486,D772..."
1024,杭州南,1028,金华,36,"D5483,D771,G1416,G1432,G1633..."
1024,杭州南,1029,金华南,1,G7498
1024,杭州南,1037,芜湖,1,K8564
1024,杭州南,1045,黄山北,4,"G2385,G2395,G7482,G7496"
1025,温州,1019,丽水,12,"K102,K1238,K1256,K1396,K1586..."
1025,温州,1029,金华南,1,K1050
1026,温州南,1019,丽水,47,"D3212,D3236,G1228,G1458,G164..."
1026,温州南,1021,宁波,64,"D2282,D2284,D2286,D2288,D2294..."
1026,温州南,1029,金华南,1,G2316
1027,衢州,1023,杭州东,6,"G1342,G1346,G1378,G1496,G1581..."
1027,衢州,1028,金华,79,"D5484,D5486,D5492,D5496,D772..."
1027,衢州,1029,金华南,1,G2358
1028,金华,1001,上海,1,Z100
1028,金华,1019,丽水,2,"K1258,K326"
1028,金华,1021,宁波,5,"K1077,K424,K846,Z288,Z31"
1028,金华,1022,杭州,8,"D5492,D5496,K1092,K1128,K210..."
1028,金华,1023,杭州东,64,"D5484,G100,G1302,G1306,G1322..."
1028,金华,1024,杭州南,33,"D5486,D772,G1418,G1434,G2334..."
1028,金华,1025,温州,1,K1669
1028,金华,1026,温州南,1,G2344
1028,金华,1027,衢州,79,"D5483,D5485,D5491,D5495,D771..."
1028,金华,1029,金华南,12,"G1460,G1983,G1991,G2035,G2301..."
1029,金华南,1019,丽水,37,"D3211,D3235,G1226,G1460,G163..."
